Entity ID,Acquisition Date,Month of Acquisition,GEOTIFF Available,GEOTIFF File Size,DEM Available,DEM File Size,Date Updated,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
GT30ANTARCPS,1996-12-01 00:00:00-06,12,Y,58363712,Y,10536847,2020/08/19,75°00'00"S,0°00'00"E,60°00'00"S,180°00'00"W,60°00'00"S,180°00'00"E,90°00'00"S,180°00'00"E,90°00'00"S,180°00'00"W,-75,0,-60,-180,-60,180,-90,180,-90,-180,GT30ANTARCPS,GT30ANTARCPS
GT30E020N40,1996-12-01 00:00:00-06,12,Y,57648384,Y,26123671,2015/11/19,15°00'00"N,40°00'00"E,40°00'00"N,20°00'00"E,40°00'00"N,60°00'00"E,10°00'00"S,60°00'00"E,10°00'00"S,20°00'00"E,15,40,40,20,40,60,-10,60,-10,20,GT30E020N40,GT30E020N40
GT30E020N90,1996-12-01 00:00:00-06,12,Y,57648384,Y,16991902,2015/11/19,65°00'00"N,40°00'00"E,90°00'00"N,20°00'00"E,90°00'00"N,60°00'00"E,40°00'00"N,60°00'00"E,40°00'00"N,20°00'00"E,65,40,90,20,90,60,40,60,40,20,GT30E020N90,GT30E020N90
GT30E020S10,1996-12-01 00:00:00-06,12,Y,57648384,Y,8261263,2015/11/19,35°00'00"S,40°00'00"E,10°00'00"S,20°00'00"E,10°00'00"S,60°00'00"E,60°00'00"S,60°00'00"E,60°00'00"S,20°00'00"E,-35,40,-10,20,-10,60,-60,60,-60,20,GT30E020S10,GT30E020S10
GT30E060N40,1996-12-01 00:00:00-06,12,Y,57648384,Y,17933795,2015/11/19,15°00'00"N,80°00'00"E,40°00'00"N,60°00'00"E,40°00'00"N,100°00'00"E,10°00'00"S,100°00'00"E,10°00'00"S,60°00'00"E,15,80,40,60,40,100,-10,100,-10,60,GT30E060N40,GT30E060N40
GT30E060N90,1996-12-01 00:00:00-06,12,Y,57648384,Y,22401605,2015/11/19,65°00'00"N,80°00'00"E,90°00'00"N,60°00'00"E,90°00'00"N,100°00'00"E,40°00'00"N,100°00'00"E,40°00'00"N,60°00'00"E,65,80,90,60,90,100,40,100,40,60,GT30E060N90,GT30E060N90
GT30E060S10,1996-12-01 00:00:00-06,12,Y,57648384,Y,112261,2015/11/19,35°00'00"S,80°00'00"E,10°00'00"S,60°00'00"E,10°00'00"S,100°00'00"E,60°00'00"S,100°00'00"E,60°00'00"S,60°00'00"E,-35,80,-10,60,-10,100,-60,100,-60,60,GT30E060S10,GT30E060S10
GT30E060S60,1996-12-01 00:00:00-06,12,Y,51869184,Y,5307362,2015/11/19,75°00'00"S,90°00'00"E,60°00'00"S,60°00'00"E,60°00'00"S,120°00'00"E,90°00'00"S,120°00'00"E,90°00'00"S,60°00'00"E,-75,90,-60,60,-60,120,-90,120,-90,60,GT30E060S60,GT30E060S60
GT30E100N40,1996-12-01 00:00:00-06,12,Y,57648384,Y,14173966,2015/11/19,15°00'00"N,120°00'00"E,40°00'00"N,100°00'00"E,40°00'00"N,140°00'00"E,10°00'00"S,140°00'00"E,10°00'00"S,100°00'00"E,15,120,40,100,40,140,-10,140,-10,100,GT30E100N40,GT30E100N40
GT30E100N90,1996-12-01 00:00:00-06,12,Y,57648384,Y,24993354,2015/11/19,65°00'00"N,120°00'00"E,90°00'00"N,100°00'00"E,90°00'00"N,140°00'00"E,40°00'00"N,140°00'00"E,40°00'00"N,100°00'00"E,65,120,90,100,90,140,40,140,40,100,GT30E100N90,GT30E100N90
