Year,Month,Tsunami Event Validity,Tsunami Cause Code,Deposits,Country,Location Name,Number of Runups,Earthquake Magnitude,Latitude,Longitude,Maximum Water Height (m),Tsunami Intensity,Total Damage Description,After 1900,Effects of Tsunami,Timeline,Tsunami Cause Code,Factor4,Location
684,11,4,1,2,JAPAN,NANKAIDO,2,8.4,32.5,134,3,1,3,0,0.108968489,-4.389354422,-0.73276279,1.433807155,0.964256441
1026,6,3,1,1,JAPAN,"OFF MASUDA, SHIMANE PREFECTURE",2,7.5,34.8,131.8,10,3,3,0,0.131308632,-3.716594388,-0.242172462,-1.396085715,0.616034534
1096,12,4,1,3,JAPAN,ENSHUNADA,5,8.4,34,137.5,7,2,2,0,0.116560787,-3.228290397,-0.383303255,1.561331175,0.729550179
1433,11,4,1,0,JAPAN,OFF IZU-OSHIMA,1,7.1,34.9,139.5,2,1,3,0,-0.490282189,-2.012174803,-0.273407487,0.815914284,0.964882427
1481,5,4,1,0,GREECE,ISLAND OF RHODES,1,7.1,36,28,3,3,3,0,-0.030716968,-1.968374479,-0.052937251,-0.094799181,0.641811199
1495,9,4,1,0,JAPAN,"KAMAKURA, SAGAMI BAY, TOKAIDO",2,7.1,35.1,139.5,5,2,1,0,-0.755670734,-1.766056833,-0.072293928,0.591272014,1.049763192
1498,9,4,1,5,JAPAN,ENSHUNADA SEA,6,8.3,34,138.1,10,4,3,0,0.974427331,-2.297690156,-0.192710341,0.931007483,0.664221157
1509,9,3,1,0,TURKEY,MARMARA SEA,1,7.7,40.8,28.1,6,3,4,0,0.181331353,-2.386167099,-0.011361806,-0.957963575,-0.339160336
1510,9,4,1,0,JAPAN,OSAKA BAY,1,6.7,34.6,135.4,2,1,1,0,-0.996424279,-1.525603705,-0.038114447,0.404373313,1.165639381
1520,4,4,1,0,JAPAN,"KII, KUMANANONADA",1,7,33.6,136.3,2,1,1,0,-0.659957968,-1.422804955,-0.339375689,-0.292375876,1.369072671
1586,7,4,1,0,PERU,CENTRAL PERU,6,8.5,-12.3,-77.7,26,3.5,3,0,0.439266467,-1.92764526,-0.349184605,0.780162412,-1.547507053
1596,9,4,3,0,JAPAN,"BEPPU BAY, KYUSHU",2,6.9,33.3,131.7,5,2,3,0,-0.428581534,-1.605127555,1.018067024,0.313688228,0.90038032
1604,11,4,1,0,PERU,S. PERU,6,8.5,-17.88,-70.94,5,3.5,3,0,0.231116083,-1.959974579,-0.514713586,1.330123784,-1.84525068
1605,2,4,1,4,JAPAN,NANKAIDO,10,7.9,33,134.9,10,3,3,0,0.969905999,-1.635583335,-0.424591395,-0.376362492,1.130743651
1611,12,4,1,4,JAPAN,SANRIKU,11,8.1,39,144.5,25,4,3,0,0.690275803,-2.012135006,0.16619748,1.39506806,0.570098007
1615,6,4,1,0,UKRAINE,BLACK SEA,1,5.7,44.9,35.5,1,2,1,0,-1.107219802,-1.109398683,0.610870206,-0.430208342,1.20047587
1640,7,4,7,3,JAPAN,SE. HOKKAIDO ISLAND,3,6.5,42.07,140.68,8,1,1,0,-0.840853524,-1.048748477,3.720061402,-0.350685096,1.413039573
1650,9,4,7,5,GREECE,THERA ISLAND (SANTORINI),7,6.3,36.404,25.396,30,6,1,0,-0.226359783,-1.697765331,4.829546826,0.06308307,0.390126214
1662,10,4,1,0,JAPAN,HIUGANADA,3,7.6,31.7,132,1,2.5,2,0,-0.331170502,-1.496255011,-0.286805909,0.855483185,0.621548887
1670,12,4,1,0,JAPAN,"BOSO, JAPAN",1,6.4,35.5,141,2,1,1,0,-1.216870699,-1.078150491,0.195990544,0.739934846,1.02877114
1674,2,4,3,0,INDONES,BANDA SEA,33,6.8,-3.75,127.75,100,1.5,3,0,0.074589334,-1.176163425,1.562875922,-0.567967832,0.391885686
1677,4,4,1,0,JAPAN,SANRIKU,4,8.1,40,144,6,2,1,0,-0.161299058,-1.224262975,-0.537868087,0.128551594,1.115813264
1677,11,4,1,2,JAPAN,OFF SE. BOSO PENINSULA,27,7.4,35,141.5,8,3,3,0,0.196030582,-1.561396332,-0.018484145,0.894629522,0.724116946
1693,1,4,1,3,ITALY,ISLAND OF SICILY,11,7.4,37.133,15.017,12,4,4,0,1.043989072,-1.460355149,0.020361759,-0.711547162,0.636303191
1703,12,4,1,2,JAPAN,OFF SW BOSO PENINSULA,48,8.2,34.7,139.8,11.7,3,4,0,0.734114281,-1.65859168,-0.284981464,1.317057875,0.400406982
1707,10,4,1,5,JAPAN,NANKAIDO,31,8.4,33.2,134.8,25.7,4,4,0,1.332057913,-1.764402286,-0.045529058,1.095451744,0.39620614
